titulo,caracteristicas,precio_numerico,precio_por_m2,categoria_precio,metros_cuadrados,categoria_tamano,ambientes,dormitorios,banos,cocheras,barrio,ciudad,descripcion
Parana 695,1 m² tot. 3 amb. 2 dorm. 1 baño,900000,900000.0,Alto,1.0,Pequeño,3,2,1.0,,Nueva Córdoba,Córdoba,Departamento en Alquiler. Parana 700 esquina Obispo Oro - Nueva Córdoba. 2 dormitorios. Consta de: - Living comedor. - Cocina separada. - 2 dormitorios. - Baño completo. 1er piso por escalera. Terraza con asador. Alquiler $900. 000. Expensas $90. 000. Impuestos $30. 000. Agua $20. 000. Contrato por 24 meses. Incremento trimestral por ipc. Agenda tu visita!!
La Rioja al 600,52 m² tot. 5 amb. 2 dorm. 1 baño,500000,9615.384615384615,Medio,52.0,Mediano,5,2,1.0,,Centro,Córdoba,"La Rioja 619 y Cañada dpto en muy buen estado de conservación. Cuenta con - Living comedor- Cocina separada- Dos dormitorios con placares- Baño Alquiler $ 500. 000 contrato por dos años actualización trimestral ipc. Los impuestos, servicios y expesnas son a cargo del Locatario. Aviso: La presente publicación está sujeta a disponibilidad. La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria. La presente publicación no es una oferta vinculante en los términos del Art 7 y 8 de Ley de Defensa al Consumidor Ley N 24 240 y el Art 959 del Codigo Civil La información contenida esta sujeta a modificación sin previo aviso y a criterio del propietario quien determina las condiciones finales para dar en venta o alquiler el inmueble de su propiedad Ud Dispone de amplia libertad para adquirir información concreta, veraz, o objetiva que revista el carácter de una oferta."
Colon 4875,50 m² tot. 3 amb. 1 dorm. 1 baño,475000,9500.0,Económico,50.0,Mediano,3,1,1.0,,Teodoro Felds,Córdoba,"Departamento de un dormitorio con cocina separada, pisos de porcelanato, balcon con asador. Pileta. Sum. Seguridad 24 hs. Opcional cochera."
Ituzaingo al 500,75 m² tot. 3 amb. 2 dorm. 1 baño,850000,11333.333333333334,Alto,75.0,Mediano,3,2,1.0,,Nueva Córdoba,Córdoba,"Ignacio Muñoz inmobiliaria ofrece en alquiler el siguiente inmuebleUbicado en calle: Ituzaingó 585, piso 4 contra frente. Posee: Living comedor amplio. Cocina separada. 1 baños. balcon. 2 dormitorios con bajas $ 75. 000"
Ayacucho 349,26 m² tot. 2 amb. 1 dorm. 1 baño,300000,11538.461538461539,Económico,26.0,Pequeño,2,1,1.0,,Centro,Córdoba,"Ramos-salvai Servicios Inmobiliarios ofrece en alquiler un hermoso dpto de 1 dormitorio en calle Ayacucho al 300, entre calles Duarte Quirós y Bv. San Juan. A mts de la Plaza de la Intendencia, Paseo de Sobremonte, Patio Olmos, etc. Consta de: - Living comedor con pisos de parquet y un aire acondicionado de ventana. - Cocina integrada con anafe de dos hornallas (sin horno). - Dormitorio amplio con pisos de parquet. - Baño completo con ducha en suite. - Interno, muy luminoso y ventilado. Muy silencioso. - Segundo piso por escalera. Contrato por 24 meses. Aumentos cuatrimestrales según I. C. L. Expensas, impuestos y servicios a cargo del inquilino. * Requisitos: recibo de sueldo del locatario y 2 garantes con recibo de sueldo/propiedad. * Gastos: Honorarios: $360. 000. Informes: $30. 000. Certificación de firmas en escribanía."
Jiménez de Lorca 4660,5000 m² tot. 6 amb. 2 dorm. 2 baños 2 coch.,1750,0.35,Económico,5000.0,Muy grande,6,2,2.0,2.0,Cerro de las Rosas,Córdoba,"Alquilo departamento amplio construído con materiales de primera calidad- amoblado + cortinas y luminarias. Living comedor con cocina semiintegrada con importante mesada, balcon con asador, dos dormitorios, el principal en suite con un vestidor grande y cómodo. Dos baños en la zona de dormitorios + un baño social. Un cuarto de servicio. El complejo con seguridad es hermoso, tranquilo, único, es el mejor en cuanto al diseño arquitectónico, equipado con la última tecnología. Tiene un jardín de estilo inglés, con grandes árboles que dan frescura y sombra. Posee entrada y salida privada al supermercado Disco de la Nuñez al 4600. Tiene dos cocheras subterráneas al lado del ascensor. Zoom para eventos y pileta con solarium. Se pide un mes de depósito + tres garantías a satisfacción del locador. Expensas aproximadas 340. 000 pesos. Contáctese por whats app al Ver datos. inmobiliaria carranza chiodi mpcpi 4368"
9 de Julio 2870,45 m² tot. 2 amb. 1 dorm. 1 baño,340000,7555.555555555556,Económico,45.0,Pequeño,2,1,1.0,,Alto Alberdi,Córdoba,"Alquiler duplex en alberdi. alquiler duplex 1 dorm - En Ciudad de Córdoba. Sinergia Red Inmobiliaria ofrece en Alquiler: Excelente Duplex ubicado en 9 de Julio 2870 en Barrio Alberdi, a una cuadra de la Av. Colon donde pasan todas las líneas de colectivo. El departamento esta en un cuarto piso contra frente con muy buenas iluminaciones, es orientación Norte. Servicios: E impuestos A cargo del inquilino. Departamento: Un (1) dormitorio, Tipo Duplex. Living: de espacios reducidos con piso porcelanato y muy buena iluminación, con comedor diario. Cocina: Integrada equipada con muebles bajo mesada y alacena buen espacio de guardado. Dormitorio: amplio con placar de piso a techo cómodo, y baño en suite, amplio y comodo. Baño de servicio en la planta baja. ¡Para más información de propiedades similares no dudes en contactarnos. a través del formulario, WhatsApp o llámanos! Estamos a tu disposición. leandro luque Mat. 7245. Ver datos - Ver datos. Sinergia Red Inmobiliaria"
ASUNCION 215,60 m² tot. 4 amb. 2 dorm. 1 baño,450000,7500.0,Económico,60.0,Mediano,4,2,1.0,,Bajo General Paz,Córdoba,"Bertero Negocios Inmobiliarios ofrece en alquiler: Departamento ubicado en B Bajo Gral. Paz, calle Asunción 215- 3 por escalera, muy luminoso, moderno y funcional. Ante-cocina con mueble bajo mesada semi separada, calefón, artefacto de cocina y espacio para heladera y conexión para lavarropas- Living comedor amplio. 2 dormitorios con placar. Ante baño y baño completos. alquiler $ 450. 000 mas expensas, servicios e impuestos. contrato por dos años actualizacion cuatrimestral con indice ipc"
Santa Fe,35 m² tot. 2 amb. 1 dorm. 1 baño,330000,9428.57142857143,Económico,35.0,Pequeño,2,1,1.0,,Alberdi,Córdoba,"Avenida Santa Fe 875. 8° piso. 1 dormitorio, cocina estar, baño."
Mendoza 36,40 m² tot. 2 amb. 1 dorm. 1 baño,360000,9000.0,Económico,40.0,Pequeño,2,1,1.0,,Alberdi,Córdoba,"Ramos-salvai Servicios Inmobiliarios ofrece en alquiler este hermoso dpto de 1 dormitorio ubicado en calle Mendoza al 36, entre calles Dean Funes y 9 de Julio. A mts de Plaza Colón, Central de Policia, Nuevocentro Shopping, etc. Consta de: - Living comedor grande. - Cocina integrada al living. - Baño completo con ducha. - Dormitorio amplio con placard. - Gran balcón con acceso desde el living y el dormitorio. Contrato de alquiler por 24 meses. Aumentos cuatrimestrales según I. C. L. Expensas, impuestos y servicios a cargo del inquilino. * Requisitos: recibo de sueldo del locatario y 2 recibos de sueldo de garantes (superiores a $900. 000 y 2 años de antigüedad). * Gastos: Honorarios: $432. 000. Informes: $30. 000 aprox. Certificación de firmas en escribanía."
bv Illia 536,99 m² tot. 5 amb. 2 dorm. 1 baño,650000,6565.656565656565,Medio,99.0,Grande,5,2,1.0,,Nueva Córdoba,Córdoba,"Dueña alquila, Departamento de dos dormitorios con placard e interiores, cocina separada amplia con muebles bajo mesada, alacena; artefacto de cocina y calefón, espacio para heladera y lavarropas; living comedor amplio y luminoso con ventanas en ambos lados, baño completo. Un departamento por piso."
AV. COLON,65 m² tot. 4 amb. 2 dorm. 1 baño,600000,9230.76923076923,Medio,65.0,Mediano,4,2,1.0,,Alto Villasol,Córdoba,"Alquilo departamento completamente amoblado en torres villasol. Complejo con guardia las 24 horas con acceso controlado, pileta olimpica Y locales comerciales. Departamento con living comedor amplio con aire acondicionado Y acceso A balcon, cocina semi separada totalmente equipada, baño completo Y dos dormitorios con placard."
Fructuoso Rivera 847,40 m² tot. 2 amb. 1 dorm. 1 baño,370000,9250.0,Económico,40.0,Pequeño,2,1,1.0,,Observatorio,Córdoba,"- alquiler hermoso depto de 1 dorm- alquiler depto en observatorio en la Ciudad de Córdoba. Sinergia Red Inmobiliaria ofrece en alquiler: Excelente departamento Ubicado sobre Fructuoso Rivera 847 - Barrio Observatorio, pegado a tribunales ii, zona de mucho crecimiento y expansión, a una cuadra de la avenida Pueyrredón y a 5 minutos en auto de ciudad universitaria. La unidad puede ser utilizada para vivienda Familiar o Apto profesional. Servicios: E impuestos A cargo del inquilino. caracteristicas: Departamento: Un (1) dormitorio. Living: amplio con muy buena iluminación. Cocina: integrada equipada con muebles bajo mesada. Dormitorio: amplio con placar y aberturas bien grandes. Baño: completo con mesada larga y de muy buen diseño más bacha. Balcón: No tiene. ¡Para más información de propiedades similares no dudes en contactarnos. a través del formulario, WhatsApp o llámanos! Estamos a tu disposición. leandro luque Mat. 7245 cpi. Ver datos - Ver datos. Sinergia Red Inmobiliaria"
Dirección no informada,162 m² tot. 4 amb. 2 dorm. 2 baños 3 coch.,1500,9.25925925925926,Económico,162.0,Muy grande,4,2,2.0,3.0,Chateau Carreras,Córdoba,"Livette - impecable - living - comedor - toilette - 2/3 dormitorios ( 1 en suite) - cocina ( horno - anafe - lavavajilla - lavarropa - heladera - ( amplio balcon de 60 M2 con asador con horno A gas Y plancha electrica) 2/3 cocheras ( 1 cubierta en subsuelo, 1 techada Y 1 opcional sin techo) calefaccion por radiadores - splits en dormitorios Y living - aberturas de aluminio dvh - en terraza: buhardilla de 10 M2 mas tender de 17 M2 // amenities: salon criollo con asador Y salon gurmet, equipados con heladeras, leds, vajilla etc - sala de trabajo - pileta cubierta climatizada - gran pileta externa - gym / alquiler U$S 1. 500. - con 2 Ó 3 cocheras// opcional con muebles U$S 2. 200. - incluye: 2 sillones chesterfield, mesa de living - mesa de comedor con sus sillas Y biblioteca - tv leds - sommiers en dormitorios - heladera - lavarropa - lavavajilla"
SIN COMISION - Costanera Mestre,62 m² tot. 5 amb. 2 dorm. 1 baño,590000,9516.129032258064,Medio,62.0,Mediano,5,2,1.0,,Providencia,Córdoba,"Lo dice la ia, no le podés escapar a esta belleza!! Alquiler / providencia - alberdi. 2 Dormitorios Amplios ( servicios conectados) * video de la propiedad disponible* Torre Regam Pilay 4 - piso alto - gran vista hacia costanera Y centro de la ciudad. Ubicado en el complejo regam pilay, sobre Costanera Mestre al 1160 (esquina Coronel Olmedo), a pocos metros de Puente Santa Fe y Puente Avellaneda, este lindo y práctico inmueble cuenta con las siguientes características: + edificio con guardia de seguridad Y opcion A cocheras +. Excelente luz Y ventilacion. . 2 Dormitorios con placard. . Living/Comedor amplio. . Cocina separada equipada. . Baño completo con mampara de vidrio. . Calefaccion en todos los ambientes. . Cortinas blackout en todas las ventanas. . Agua, Luz y Gas conectados. Alquiler $589. 000. 170M Gastos mensuales -incluye impuestos- $300. 000 Total de gastos de contrato (incluido pedido de informes) Contrato por 2 años, aumento ipc cada 4 meses. Requisitos: Recibos de sueldo activos con +2 años antigüedad y +$900. 000 netos (de cualquier punto del país) Es un edificio con hermosa calidez de vida, en un ambiente natural y tranquilo, en medio de la ciudad. rrrrrrrápido llamanos y vamos A verlo"
Independencia al 1100,44 m² tot. 2 amb. 1 dorm. 1 baño,500000,11363.636363636364,Medio,44.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Se alquila!! Excelente departamento en Nueva Córdoba, sobre calle Independencia al 1180, proximo a la unc. Características: - 1 dorm c/placard- balcon al frente - cocina semi integrada - baño con ventilacion- living comedor amplio y luminoso - expensas: $95. 000 aprox Para mas información o coordinar una visita contactarse al Ver datos"
Caseros 345,65 m² tot. 2 amb. 2 dorm. 1 baño,630000,9692.307692307691,Medio,65.0,Mediano,2,2,1.0,,Centro,Córdoba,"Alquiler Departamento contra frente con balcón ubicación Unica! A metros de Cañada, sobre calle Caseros. Posee dos dormitorios con placares, Baño con ducha, Living amplio, Comedor, Cocina comedor separada, Lavadero. Superficie cub. 60 mts. Aprox. Antiguedad 40 años. Alquiler Departamento amoblado 2 dormitorios - Centro - Córdoba. Se alquila amoblado con artefactos (heladera, cocina, lavarropas, microondas, secarropas, etc) y muebles: mesa, sillas, camas en cada habitacion con mesas de luz, etc) Requisitos: garantias con recibo de sueldo propietaria - Consultar. Contrato a dos años con incremento trimestral por ipc icl. Honorarios Inmobiliaria: 5% monto contrato mas informes"
rodriguez del busto 3402,102 m² tot. 4 amb. 1 dorm. 1 baño 1 coch.,1100,10.784313725490197,Económico,102.0,Grande,4,1,1.0,1.0,Alto Verde,Córdoba,"Portela Weinzetel Inmuebles ofrece en alquiler, departamento ubicado en Parque Milénica Rodriguez del Busto: Departamento 1 de un dormitorio: Living comedor con salida a balcón, toilete en ingreso al mismo. El Dormitorio con baño en suite, cuenta de muy buenas dimensiones y es luminoso, con generosos lugares de guardado en habitación y ante baño. La cocina cuenta con espacio de comedor, lugares de guardado, y lavadero. Es importante destacar que tiene muy buena luz natural en todos sus ambientes, ya que cuenta con orientación norte, tiene vista a las sierras desde el dormitorio. Cocina impecable, muy bien mantenido. Precio U$D1. 100. Cuenta con aire acondicionado en living comedor, y radiadores en todos los ambientes. Seguridad 24 hs. A su vez dispone de cochera subterránea."
Rosario de Santa Fe 326,45 m² tot. 2 amb. 1 dorm. 1 baño,380000,8444.444444444445,Económico,45.0,Pequeño,2,1,1.0,,Centro,Córdoba,"García del Pino & Asociados ofrece en alquiler un departamento de 45 m², ubicada en pleno corazón de la ciudad, sobre calle Rosario de Santa Fe 326, en el tradicional Barrio Centro. Este departamento cuenta con una distribución funcional y cómoda: - Cocina sepada. Con bajo mesada y alacenas, ideal para quienes buscan practicidad y espacio para cocinar con comodidad. -Comedor independiente. -1 dormitorio amplio. - Ubicación estratégica, ideal para quienes buscan comodidad y tranquilidad. -Canon locativo: $380. 000. El inmueble se encuentra en una zona estratégica, a pasos de paradas de colectivo, centros comerciales, universidades y servicios esenciales. Para más información o coordinar una visita, contactanos. ¡No pierdas esta oportunidad!"
Obispo Trejo 1313,40 m² tot. 2 amb. 1 dorm. 1 baño,400000,10000.0,Económico,40.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Ideal para estudiantes que necesitan concentración, por su cercanía a Ciudad Universitaria, pero, sobre todo, por su silencio, evitando tener que usar el recurso de estudiar a la noche para poder concentrarse. La Unidad se encuentra en una de las zonas más tranquilas de Nueva Córdoba, el barrio buscado por todos los estudiantes. Se encuentra a 200 metros del Campus de la U. N. C. Y a 200 metros de la Av. Pueyrredón, en donde empieza toda la movida nocturna de estudiantes. El edificio está ubicado en el tercer piso de un edificio moderno y seguro. Cuenta con un amplio living comedor, cocina separada con espacio para lavarropas, y hall de distribución que conecta el living comedor con el baño y el dormitorio. El baño es amplio, completo, y cuenta con bañera para unos baños de inmersión relajantes (o para llenarlos de jeans en remojo como hacía yo cuando estudiaba Cine y tv, para ahorrar en el laverrap, porque en mi época, de tener lavarropas, ni pensarlo, ja!). Lo destacable es lo luminoso que es. El dormitorio cuenta con pisos de parquet y placar de pared a pared, con baulera e interiores completos. Ponete en contacto, si es posible vía whatsapp, para agilizar la respuesta, ¡y lo vamos a ver! Se que te va a gustar. Somos Pisoalto realty, una empresa que desde 2013 brinda servicios inmobiliarios en Ciudad de Córdoba y Valle de Punilla, y en Ciudad de Las Varillas y zona, pensando en la entera satisfacción de nuestros clientes. Nota: La intermediación y la conclusión de las operaciones serán llevadas a cabo por el corredor matriculado Carlos E. Capellino. Cpi 4751, La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados. Nota 2: La presente publicación no es una oferta vinculante en los términos del Art. 7 y 8 de la Ley de Defensa al Consumidor N24. 240 y los Art. Del cc y C. La información contenida está sujeta a modificación sin previo aviso y a criterio del propietario quien determina las condiciones finales para dar en venta o alquiler el inmueble de su propiedad. Usted dispone de amplia libertad para adquirir información concreta, veraz, u objetiva que revista el carácter de una oferta."
Entre Rios 247,49 m² tot. 3 amb. 1 dorm. 1 baño,450000,9183.673469387755,Económico,49.0,Pequeño,3,1,1.0,,Centro,Córdoba,"Ft inmobiliaria, ofrece en alquiler Departamento en 5to piso B, amplio, luminoso con balcón ubicado sobre calle Entre Ríos 247, Centro. Edificio con cámaras de seguridad a 50 mts de Av. Chacabuco y próximo a diversos tipos de medios de transporte. Expensas bajas. - living comedor. - cocina separada. - 1 Dormitorio amplio. - baño. - balcón. Para más consultas contáctanos"
Fructuoso Rivera 847,40 m² tot. 2 amb. 1 dorm. 1 baño,370000,9250.0,Económico,40.0,Pequeño,2,1,1.0,,Observatorio,Córdoba,"- alquiler hermoso depto de 1 dorm- alquiler depto en observatorio en la Ciudad de Córdoba. Sinergia Red Inmobiliaria ofrece en alquiler: Excelente departamento Ubicado sobre Fructuoso Rivera 847 - Barrio Observatorio, pegado a tribunales ii, zona de mucho crecimiento y expansión, a una cuadra de la avenida Pueyrredón y a 5 minutos en auto de ciudad universitaria. La unidad puede ser utilizada para vivienda Familiar o Apto profesional. Servicios: E impuestos A cargo del inquilino. caracteristicas: Departamento: Un (1) dormitorio. Living: amplio con muy buena iluminación. Cocina: integrada equipada con muebles bajo mesada. Dormitorio: amplio con placar y aberturas bien grandes. Baño: completo con mesada larga y de muy buen diseño más bacha. Balcón: No tiene. ¡Para más información de propiedades similares no dudes en contactarnos. a través del formulario, WhatsApp o llámanos! Estamos a tu disposición. leandro luque Mat. 7245 cpi. Ver datos - Ver datos. Sinergia Red Inmobiliaria"
"Departamento en Alquiler Nueva Cordoba - Ituzaingo 572, 1 Dorm con Patio!",47 m² tot. 2 amb. 1 dorm. 1 baño,590000,12553.191489361701,Medio,47.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Maciel Bienes Raíces, te acerca un departamento amoblado en alquiler, en la zona del Buen Pastor de Nueva Córdoba. Edificio Terra se encuentra en calle Ituzaingó 572, casi San Lorenzo. a tan sólo 100 metros del Buen Pastor, Universidad Siglo 21, Sanatorio Allende, Museos, Plaza España, Palacio Ferreyra, y demás puntos centrales de referencia. El departamento se encuentra en planta baja, contando un hermoso patio de césped artificial, living comedor, cocina semi integrada con barra desayunadora, espacio de vestidor con placard, baño y 1 dormitorio con persiana de enrollar de aluminio. Cuenta con artefactos de iluminación en todo el dpto. Con gas y Luz conectados! Departamento 100% amoblado de categoría con: * Heladera, microondas, pava eléctrica, cocina a gas* Mesa Eames con 4 sillas Milán, Revestimiento de madera en pared* Sillón de living, tv Smart de 40&quot;, Rack de tv, lámpara de pie* Somier 2 plazas, con mesas de Luz, veladores, Aire Acondicionado portátil* Hermoso patio de césped sintético* Edificio con seguridad todos los días* Se alquila con contrato temporario de 3 meses, o bien puede ser anual* El precio del alquiler, no incluye gastos, servicios, ni comisión inmobiliaria. Contactame para agendar tu visita!"
LARRAÑAGA 133,57 m² tot. 3 amb. 2 dorm. 1 baño,500000,8771.929824561403,Medio,57.0,Mediano,3,2,1.0,,Nueva Córdoba,Córdoba,"Características: • Dirección: Larrañaga 133 8 B. • Disposición: contrafrente. • 2 dormitorios con piso ceramico y luminosos. Uno con placar empotrado. • 1 baño completo con ducha. • Living comedor amplio y luminoso. • Cocina comedor con alacena superior e inferior, mesada, calefón y salida al balcon. • 1 balcon amplio. Costos: • Alquiler: $500. 000. • Aumento trimestral x ipc. • Impuestos a cargo del inquilino. Requisitos: • 3 Recibos de sueldo"
Av Argentina 1400,150 m² tot. 5 amb. 2 dorm. 2 baños 1 coch.,750000,5000.0,Medio,150.0,Muy grande,5,2,2.0,1.0,Córdoba,Córdoba,"Alquiler duplex 2 dorm complejo av argentina - va allende. Duplex desarrollado en 2 plantas, con las sgtes características: 2 dorm. 2 baños. Cocina integrada. Living comedor. Cochera. Complejo cerrado no abona expensas. Valor alquiler $ 750. 000, actualización trimestral ipc"
Pasaje Luigi Zago 396,37 m² tot. 2 amb. 1 dorm. 1 baño,320000,8648.648648648648,Económico,37.0,Pequeño,2,1,1.0,,Centro,Córdoba,"Muñoz brokers inmobiliarios ofrece: Departamento de 1 dormitorio pb ubicado en Pasaje Luigi Zago al 300, a media cuadra de Av. Duarte Quiros. Se alquila amoblado. Se distribuye de la siguiente manera: - 1 dormitorio con placard, sommier y baño en suite. - Living comedor con cocina integrada, con heladera y horno. - Patio de cemento con pileta de lavado. Se encuentra en planta baja y tiene en terraza asadores. Alquiler $390. 000. Expensas $70. 000. Impuestos $20. 000 total. Ajustes cada 3 meses por ipc. Se abonan honorarios e informes"
Bv Illia 357,2 amb. 1 dorm. 1 baño,350000,,Económico,,Sin datos,2,1,1.0,,Nueva Córdoba,Córdoba,Bernasconi Inmobiliaria presenta en esta oportunidad departamento en alquiler ubicado en barrio Nueva Córdoba sobre Bv Illia 357. Interno y acceso por escalera. - 1 dormitorio con placar. - Baño. - Living comedor con cocina integrada. consultar!
Montevideo 889,42 m² tot. 2 amb. 1 dorm. 1 baño,390000,9285.714285714286,Económico,42.0,Pequeño,2,1,1.0,,Observatorio,Córdoba,"Alquiler depto en Ciudad de Córdoba. Sinergia Red inmobiliaria ofrece en alquiler: Excelente departamento en Montevideo 889 - Barrio Observatorio cerca de ciudad universitaria y a 5 minutos del centro. El departamento se encuentra prácticamente a estrenar, cuenta con un lindo balcón y muy buena iluminación. Caracteristicas: Un (1) dormitorio. Living: amplio con salida al balcón. Cocina: integrada equipada con muebles bajo mesada. Dormitorio: amplio con placar bien cómodo. Baño: ante baño y baño completo. Balcón: cómodo en tamaño y buen ingreso de luz. Requisitos: servicios: E impuestos A cargo del inquilino. Dos (2) garantías laborales superiores a $1. 000. 000. Una (1) garantía propietaria preferentemente de Córdoba Capital, en caso de no contar con garantía propietaria una más laborar superior a $1. 500. 000. ¡Para más información de propiedades similares no dudes en contactarnos. a través del formulario, WhatsApp o llámanos! Estamos a tu disposición. leandro luque Mat. 7245 cpi. Ver datos. Sinergia Red Inmobiliaria"
Av. Colon 6200,55 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.,550000,10000.0,Medio,55.0,Mediano,2,1,1.0,1.0,Colón,Córdoba,"Boden presenta. Edificio: Alto Villa Sol. Ubicacion: Av. Colon 6200. Piso: 4to. Caracteristicas: - Living comedor. - Cocina separada con bajo mesada y alacenas. - Baño completo con bañera. - Dormitorio con placard e interiores. - Balcon con asador. * Contrato por 2 años con incremento trimestral por ipc. ** Garantias, recibos de sueldo superiores a 900M."
"Avenida Ingeniero, Av. Emilio Olmos 237, X5000 Córdoba, Argentina, Córdoba, Córdoba, Argentina.",59 m² tot. 4 amb. 1 dorm. 1 baño,400000,6779.661016949152,Económico,59.0,Mediano,4,1,1.0,,Centro,Córdoba,"Altos Servicios Inmobiliarios ofrece en alquiler dpto. Ubicado en el Centro de Córdoba, sobre Avenida Olmos n°237, entre Alvear y Av. Maipu, fácil acceso a costanera, diversas líneas de colectivos. Zona totalmente comercial. Descripción: • Piso 1, contra-frente. • Living-comedor, piso parquet. • Cocina separada, muy cómoda con muebles de bajo mesada, cocina artefacto, conexión a lavarropas. Ventilación propia. • Dormitorio con piso parquet. Ventilador de techo. Salida a balcón. • Baño completo con bañera. • Buena distribución. El edificio cuenta con puerta de ingreso magnética. Dos ascensores. Amplias escaleras. Condiciones de alquiler: precio inicial $400. 000, ajuste cada cuatro meses, índice icl, contrato por dos años. Gastos mensuales: impuesto municipal y rentas + expensas + agua + servicios. Gastos de ingreso: certificación de firmas en contrato de locación + honorarios inmobiliarios. Requisitos: consultar. Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias). #0953"
27 de Abril 980,74 m² tot. 3 amb. 2 dorm.,480000,6486.486486486487,Económico,74.0,Mediano,3,2,,,Alberdi,Córdoba,"#elysium Servicios Inmobiliarios ofrece en alquiler amplio en estratégica ubicación entre el centro de Córdoba y B° Alberdi, cercano a instituciones educativas, a espacios verdes como Plaza Colón (3 cuadras) y Paseo Sobremonte (4 cuadras) y diversas opciones de transporte público de pasajeros frente al edificio. Se ubica en un 4° piso interno, pero muy luminoso, con ventanales hacia el patio del edificio. El depto cuenta con: * Estar comedor amplio con aire acondicionado. * Cocina separada con bajomesada y alacena, * Baño completo, * Dos dormitorios con placares completos, * Conexión para lavarropas automático. Abona impuestos muy accesibles (aprox. $20. 000 entre Muni y Rentas), $18. 000 de Aguas Cordobesas, expensas aprox. $98. 000. Contrato por dos años e incremento trimestral según índice cer. Escribinos y vamos a conocerlo! #elysium #inmoelysium #alquiler #alberdi #centro"
Poeta Lugones al 300,50 m² tot. 2 amb. 1 dorm. 1 baño,520000,10400.0,Medio,50.0,Mediano,2,1,1.0,,Nueva Córdoba,Córdoba,Ignacio Muñoz inmobiliaria ofrece en Alquiler el siguiente Departamento. Ubicado en barrio: B° Nueva Córdoba. Calle: Poeta Lugones 352 2&quot;C&quot;• Cocina integrada. • Living comedor con buena iluminación. • 1 dormitorio• 1 baño. • Piso 2. • Tiene balcónAlquiler: $520. 000. - por mes. Expensas: $110. 000. -Honorarios: 5% del total del contrato. Contrato de alquiler por 2 años. Con aumento cuatrimestral según icl:
Av. Colón 2454,48 m² tot. 2 amb. 1 dorm. 1 baño,330000,6875.0,Económico,48.0,Pequeño,2,1,1.0,,Alberdi,Córdoba,"Barrio Alberdi - Departamento de 1 Dormitorio, Amplio y Luminoso con Cocina Equipada y Terraza Espaciosa con Excelente Vista a las Sierras. ¡Expensas Bajas! Características destacadas: - Living comedor: Amplio, muy luminoso, con calefactor. - Dormitorio: Espacioso, con buena iluminación natural y placard. - Cocina: Amplia, equipada, con mueble bajo mesada. - Baño: Completo, en excelente estado. - Terraza: De uso común, con tendederos y vista panorámica a las sierras. Ubicación: Con fácil acceso a avenidas principales, comercios y centros educativos. Detalles adicionales: - Precio de Alquiler: $330. 000. - - Comisión Inmobiliaria: Hasta 6 cuotas sin interés. Para más información o para programar una visita, no dude en contactarnos."
AV PUEYRREDON,45 m² tot. 3 amb. 1 dorm. 1 baño,330000,7333.333333333333,Económico,45.0,Pequeño,3,1,1.0,,Güemes,Córdoba,"Alquilo 1 dormitorio con balcon. Ubicado en Av Pueyrredon 800. hermoso deparmento el edificio con una antiguedad de 8 años, a pocas cuadras de nueva cordoba y ciudad universitaria. rapido acceso a colectivos, zonas comerciales y centro de salud. El departamento Consta de: 1 dormitorio con placard empotrado y sub divididos. Living comedor. Cocina sectorizada. 1 baño completo con ducha. balcon. Expensas y impuestos $90. 000. alquiler 330. 000"
ibarbalz 752,85 m² tot. 6 amb. 2 dorm. 1 coch.,1000000,11764.70588235294,Alto,85.0,Grande,6,2,,1.0,General Paz,Córdoba,"se alquila departamento en cardinales nuevo suquía – córdoba capital. Dirección: Ibarbalz 752 – Piso 18. ️ Excelente vista panorámica al centro de la ciudad. Con cochera propia. Detalles del departamento: 2 dormitorios con placares completos y aire acondicionado en cada uno. Living comedor amplio y luminoso, con aire acondicionado y salida a balcón. Cocina separada con ventilación natural, equipada con muebles bajo mesada, alacena, artefacto de cocina, extractor y calefón. Baño con antebaño. Balcón externo. El edificio cuenta con: Terraza con pileta. sum con asador. Espacio de entrenamiento con aparatos. Seguridad las 24 hs. Gastos aproximados: Expensas: $120. 000 (depto) + $20. 000 (cochera) Impuestos: $15. 000. Agua: $10. 000. Contrato por 2 años – Actualización cuatrimestral por ipc. Nota: publicación realizada con fines informativos. Para más detalles o consultas específicas, por favor comunicarse directamente."
